,author_name,author_pid,coauthors_list
0,Aaron J. Elmore,75/9436,"{'c/AAChien', '316/6852', '179/4147', '86/7615', '168/0291', '87/11444', '151/6401', 'y/JXuYu', '244/3144', '211/7926'}"
1,Abdalghani Abujabal,162/9092,"{'169/3230', '207/5762', '295/3541', '68/6229', 'b/KlausBerberich', '43/8239', '06/180', '295/3643', '139/0824-2', '28/8510'}"
2,Abdul Quamar,127/6195,"{'98/1178', 'c/LauraChiticariu', '45/1559', '204/3759', '87/11444', '238/2401', '192/4730', 'f/AlanDavidFekete', 'w/WeiWang', '02/300'}"
3,Abdulhakim Ali Qahtan,121/4198,"{'319/9703', '27/1836', '27/104-1', 'm/EssamMansour', '40/3853', 's/MichaelStonebraker', '148/4413', '25/7045-12', 'i/IhabFIlyas', 'v/YannisVelegrakis'}"
4,Abhijnan Chakraborty,116/1678,"{'130/0373', '206/6354', '10/7062', '241/9574', '11/2906', '247/9913', '39/2657', '130/5427', '72/11468', '65/2136-2'}"
5,Abhishek Kumar Singh,139/0855,"{'03/4045', '257/5042', '149/1236', '126/8775', '343/9693', '219/6067', '293/4458', 'j/KyleJamieson', '67/4375', '120/5101'}"
6,Abolfazl Asudeh,04/7892,"{'243/2448', 's/DiveshSrivastava', '328/6662', '219/9708', '154/6446', '39/3121', 'm/GeromeMiklau', '14/3692', '354/6186', '224/8653'}"
7,Adam Jatowt,j/AdamJatowt,"{'83/5350', '218/0107', '50/1648', '95/494-3', '266/8292', '81/947', '69/5902-16', '220/2460', '206/4517', '222/1228'}"
8,Adam J. Lee,62/1373,"{'44/3103', 'o/LarsOlson', '54/10518', 'c/RoyHCampbell', '70/1446', '59/9942', 'h/TimothyLHinrichs', '84/2746', '96/1611', '95/8736'}"
9,Alexander Thomson,21/8510,"{'64/11411', '147/1195', '54/1737', 'a/DJAbadi', 'p/DavidPage', '72/11411', '04/9715', '21/8510'}"
10,Alexandra Meliou,04/1835,"{'94/2260', 's/DiveshSrivastava', '200/8759', 'a/SihemAmerYahia', 'h/JosephMHellerstein', '43/5676', '116/6719', '38/769', '314/0273', 's/SWSadiq'}"
11,Alexandros Labrinidis,l/ALabrinidis,"{'d/SBDavidson', '170/5394', '60/7215', '92/3269', '65/5468', '18/5642', 'c/ShiminChen', '69/1829', '169/1787', '12/9486'}"
12,Alexandros Ntoulas,92/2820,"{'43/4174', '33/678', '97/5249', '48/2588', '56/6789-1', '58/4079', '135/5141', '60/4729', 'v/MVazirgiannis', '95/11029'}"
13,Alfons Kemper,k/AlfonsKemper,"{'m/StefanManegold', '355/0096', '186/8206', '70/3630', '204/3776', 'b/LadjelBellatreche', '32/383', '87/1093', '175/1473', '81/3829'}"
14,Ali Ahmadvand,159/6520,"{'205/3142', '37/10044', '267/2371', '215/4524', '136/8739', '228/2571', '23/5475', '76/7025', '11/1373', '256/9120'}"
15,Alin Deutsch,d/AlinDeutsch,"{'89/2032', '05/5652', 'g/AmarnathGupta', 's/DiveshSrivastava', 'a/SihemAmerYahia', '75/4070', '88/5139', '88/573', 'v/GeorgeVarghese', '78/9854'}"
16,Aline Bessa,134/9031,"{'s/DiveshSrivastava', '58/1774', 'f/JulianaFreire', '27/10998', '135/2637', '149/9947', '04/5404', 'z/NZiviani', '77/6778', '224/1003'}"
17,Alireza Heidari,164/1401,"{'213/6239', '239/4102', '205/1701', '164/1318', '227/9507', '85/7343', '62/8580', '161/2740', '88/4840', '157/6081'}"
18,Neoklis Polyzotis,p/NeoklisPolyzotis,"{'m/StefanManegold', '204/3373', '95/6620', '36/2133', '148/2309', '243/3561', '83/2134', '40/6597', '14/6896', '44/6565'}"
19,Alkis Simitsis,s/ASimitsis,"{'i/YEIoannidis', '44/4147', '355/0930', '17/1242', 'd/ADeligiannakis', '44/11411', '65/5468', '04/4211', '38/6308', '76/2198'}"
20,Allison Holloway,163/3911,"{'163/3951', '79/8041', '69/1752', '163/3876', '163/4000', '156/5458', '166/8383', '09/6846', '50/3520', '163/3965'}"
21,Alon Y. Halevy,h/AlonYHalevy,"{'136/9320', '40/3793', 'h/JiaweiHan', 's/DiveshSrivastava', '213/8066', '27/6297', '31/1764', 'l/LCLamb', '18/2436', '44/2973'}"
22,Altigran S. da Silva,s/ASdaSilva,"{'119/6797', '223/7283', '86/0', '29/1174', '49/1615', '58/4767', '20/584', '135/2637', '27/8569', '262/9450'}"
23,Alvin Cheung,16/4915,"{'344/2180', '19/3011-7', '145/2814', '335/3984', 'h/JosephMHellerstein', '314/7068', '202/2236', '21/6793', '225/0129', '31/5916-1'}"
24,Ambuj K. Singh,s/AmbujKSingh,"{'158/5194', 'h/JiaweiHan', 's/DiveshSrivastava', '304/8019', '66/7109', '15/606', '59/313-1', '20/5998', '22/6288', '234/6175'}"
25,Amelie Chi Zhou,131/6619,"{'159/7654', '299/8313', '30/6609', '14/2190', 'a/AmrElAbbadi', '48/1294-7', '234/7546', '175/5813', '67/6649-3', '261/9567'}"
26,Amit Awekar,136/7882,"{'218/7171', '54/3347', '265/5643', '337/0796', '239/7114', '245/1801', '87/4845', '234/7700', '234/7602', '93/2536'}"
27,Amitabha Bagchi,77/5034,"{'p/MCPinotti', 'm/AlbertoMontresor', '205/5607', '74/2695', '98/4371-14', '243/2363', '123/4533', '130/5427', '157/0530', 's/TorstenSuel'}"
28,Amitava Das,75/5002,"{'131/9628', '201/1591', '51/1193', '298/1294', '98/11454', '213/8380', '55/10360', '306/1433', '29/5841', '312/7967'}"
29,Amol Deshpande,d/AmolDeshpande,"{'80/1631', '179/4147', 's/DiveshSrivastava', 'h/JosephMHellerstein', '98/4156', '75/3420', 's/SrinivasanSeshan', 'g/JimGray', '151/6401', 'r/RajeevRastogi'}"
30,Amr El Abbadi,a/AmrElAbbadi,"{'58/6600', '200/8759', '314/0273', '48/300', '11/2374', '40/6597', 's/SWSadiq', '75/956', '62/1637-3', '19/11139'}"
31,Amr Magdy 0001,05/8073-1,"{'67/11004', '56/3376', '147/1231', '244/1618', '203/0130', '257/4594', '34/5612', '257/5610', '23/1092', '89/2619'}"
