,author_name,author_pid,coauthors_list
0,Aaron J. Elmore,75/9436,"{'01/3996', '82/75', 'f/AlanDavidFekete', 'a/DivyakantAgrawal', '131/4202', '10/6661', '194/6154', '117/3757', '211/7926', '42/469', '274/1246', '40/7459', '45/1559', '147/1198', '127/6195', '97/3301', 'f/MJFranklin', '42/469-2', '219/9701', '242/5163', 'y/XifengYan', '117/1897-2', 'f/CFaloutsos', '43/2286', '147/1343', '232/1436', '89/7454', '372/1979', '66/9786', '316/6852', '166/8374', '25/7592', '241/5156', '186/8029', '05/7063', '86/7615', '150/1313', '76/3486', '191/0540', 'm/DavidMaier', '303/4540', 'z/XiaofangZhou', 'd/DJDeWitt', '181/5708', '266/6112', '252/3911', 'y/JXuYu', '234/1112', '128/8104', 'o/BengChinOoi', '170/0318', '56/794', '27/3290', '149/5876', '213/7854', '95/8314', '99/1163', 'k/DavidRKarger', '27/4508', 'f/RikFarrow', '25/169', '168/0291', '96/2826', '116/6181', '87/11444', '179/4140', '58/4127', '58/5014', 'a/AmrElAbbadi', '89/6325', '358/8364', 'c/UgurCetintemel', '75/9436', '82/7402', '52/1382', '71/5974', 'c/AAChien', '184/2345', '26/6037', '80/10299', '28/5477', '75/887', '228/7838', '292/6093', '287/9707', '166/8376', '131/4166', '228/8021', '372/1694', '180/5761', 'h/BillHowe', '181/5788', '347/1729', '159/1150', '04/9558', '125/2460', '94/2844', '27/7987', '206/1695', '149/5905', 'c/CarloCurino', '55/11299', '149/2713', '232/5625', '205/0395-1', '191/0523', '96/1837', '87/8324', '09/6353', 'w/StevenEuijongWhang', 'b/MagdalenaBalazinska', '41/3679', '151/6401', '179/4147', 'd/AmolDeshpande', '191/0557', '32/5050', '147/1189', '125/2926', '163/0545', 'k/GeorgiaKoutrika', '38/6049-21', 's/MichaelStonebraker', '190/7633', '237/7473', '02/6087', 't/NesimeTatbul', '25/6583', '86/9726', '286/3107', '78/4413', 'm/SamuelMadden', '19/1374-5', 'm/EssamMansour', '50/7680-2', 'y/JunYang1', '294/4509', '14/5951', '24/8510', 'f/IanTFoster', '288/0557', '155/5478', 'p/ThemisPalpanas', 'z/SBZdonik', '244/3144'}"
1,Abdalghani Abujabal,162/9092,"{'57/4545', '61/11469', 't/MartinTheobald', '70/8150', '139/0824-2', '226/4894', '96/7128', '162/7798', '127/0394', '169/3230', '25/11105', 'r/MirekRiedewald', '162/9092', '20/10453', '06/180', '71/9605', '295/3541', 'w/GerhardWeikum', '207/5762', '43/8239', '40/4987', '36/2988', '54/7420', 'b/KlausBerberich', '295/3643', '32/5357', '68/6229', '88/6532', '28/8510', '250/2789'}"
2,Abdul Quamar,127/6195,"{'54/4272', 'c/LauraChiticariu', 'f/AlanDavidFekete', 'g/JonathanGoldstein', '204/3759', '60/2319', '131/4202', '87/10957', '74/4923', '14/214', '45/1559', '127/6195', '97/3301', '204/3633', '163/4085', '192/4730', '43/2286', '81/6125', '128/2547', '204/3677', 'o/FatmaOzcan', '67/1811', '27/3375', '17/5913-1', '243/2494', '37/3868', '330/0760', 'k/SamirKhuller', '76/3486', '01/2861', '117/2614', 'z/XiaofangZhou', 'w/WeiWang', 'h/ChingTienHo', '224/6472', '166/8362', '58/1388', '87/11444', '22/835-1', '281/2391', '00/7739', '358/8364', '180/8003', '75/9436', '82/7402', '54/6752', '75/887', '31/4489', '204/3819', '53/2812', '238/2401', '204/3793', '171/2113', '28/10038', '86/4593', '51/6067', '181/2812', '12/1770-5', 'w/StevenEuijongWhang', '273/6828', 'd/AmolDeshpande', '266/2891', 'k/GeorgiaKoutrika', '66/9726', '230/8590', '257/5495', '78/4413', '98/1178', '19/1374-5', 'y/JunYang1', '60/4193', '204/3688', '129/8181', '65/11457', '24/8510', '22/8355', '56/451', '02/300', '17/6400', '184/1441'}"
3,Abdulhakim Ali Qahtan,121/4198,"{'e/AKElmagarmid', '09/7444', '25/7045-12', '131/4202', '71/8700-1', 'o/MouradOuzzani', 's/MichaelStonebraker', '147/1253', '121/4198', '148/4413', '27/104-1', '38/8707', 'v/YannisVelegrakis', 'm/SamuelMadden', '27/1836', 'm/EssamMansour', '320/0361', '40/3853', '319/9703', 'i/IhabFIlyas', '74/1890-1', '353/5639'}"
4,Abhijnan Chakraborty,116/1678,"{'58/657', '138/1229', '372/7472', '10/7062', '139/5123', '74/1644', '190/0524', '52/6987', '289/6302', '139/2312', '39/2657', '204/6332', 'g/PKrishnaGummadi', '97/117', '176/4083', '67/6126-2', '176/4200', '57/4924', '90/2878', '188/5728', '230/4496', '216/0244', '345/6401', '67/370', '74/10289', '38/768', '52/10075', '233/1417', '48/3394', '172/0876', '77/5034', '73/8324', '186/8200', '116/1678', '07/9377', '11/2906', '64/5995', '162/5030', '130/0373', '217/4358', '218/0320', '82/2478-4', '65/2136-2', '155/1879', '72/11468', '241/9574', '198/0754', '141/9244', '294/1305', '188/5933', '178/7719', '188/5984', '213/7740', '13/7005', '139/9735', '351/9766', '331/1369', 'p/VenkataNPadmanabhan', '204/5234-1', '240/9044', '247/9913', '129/8499', '161/2736', '48/10293', '06/900-1', '30/10015', '161/2730', '73/10042', '130/5427', '198/5454', '40/7987', '218/0290', '70/3304', '24/6847', '50/4417', 'm/AnimeshMukherjee', '349/0104', '182/3935', '202/2035', '206/6354', '173/4926', '141/4293', '135/6297', '118/7174'}"
5,Abhishek Kumar Singh,139/0855,"{'187/6216', '126/8775', '329/1467', '257/5042', '216/9617', '293/4458', '67/4375', '18/5843', '03/4045', '145/2945', '357/0131', '149/1236', '61/1512', '206/3438', '145/2927', '120/5101', '195/0934', '297/4262', 'g/ManishGupta1', '219/6067', '343/9693', '164/1195', '276/1394', '116/4768', '345/8476', '177/7758', '139/0779', '99/8852', '53/2182', '94/8121', '66/9553', '195/0893', '227/8823', '122/2521', '79/5692', '64/4985', '86/660', '30/10051', '174/4930', 'j/KyleJamieson', '139/0855', '168/8211', '270/9236'}"
6,Abolfazl Asudeh,04/7892,"{'247/9288', '224/8653', '131/4767', '276/6971', '243/2443', 's/DiveshSrivastava', '324/4835', '252/6782', 'g/PaoloGarza', '219/9708', '66/9718', '155/9999', '57/10514', '98/7487', '136/9395', '37/4949', '201/1548', '07/1181', '301/9104', '276/7154', '203/8717', '167/2111', 'm/GeromeMiklau', '251/9509', '04/7892', '295/7143', '137/7229', '99/6850', '58/3771', '204/3637', '39/3121', '35/3947', 's/JuliaStoyanovich', '350/0704', 't/YufeiTao', '354/6497', '151/3111', '222/9741', 'h/BillHowe', 'k/NickKoudas', '12/1709', '40/4462', 'n/ShamkantBNavathe', '243/2448', '367/7248', '272/9945', '335/2214', '16/8675-1', '14/3692', '99/7868', '181/5817', 'm/AliMovagharRahimabadi', 'b/TYBergerWolf', '154/6446', '354/6186', '324/4726', 'd/SajalKDas', 'z/NanZhang4', '254/2107', '23/7274', 'j/HVJagadish', '266/5748', '344/5088', '19/3936', '328/6662', 'p/PaoloPapotti', '351/0379', '17/10543', '80/4136-3', '17/822'}"
7,Adam Jatowt,j/AdamJatowt,"{'43/6826', '340/4018', '123/6906', '38/8987', '17/9088', '71/4474', '186/6867', '371/7386', '262/6430', '88/85', '151/2098', '171/5645', '84/5102', '27/1664-1', '292/5535', '52/7536', '57/1548-2', '40/5637', '169/1792', '79/5133', '43/8664', '94/7622', '342/8733', '18/3917', '34/1932', '58/3217', '80/3547', '83/5350', '308/2464', '63/1390', '02/2649', '61/3463', '342/8744', '04/11276', '372/0751', '11/3590', '28/2613', '193/4224', '193/4217', '81/193', '96/8781', '98/5660', '02/943', '218/0107', '304/9996', '292/3034', '216/7280', '50/916', '331/0963', '228/7964', '202/1290', '83/5930', '309/5539', '129/9499', '11/1423', '11/4619', '24/9923', '233/3653', '14/1395', '00/4883', '76/6170', '276/7000', '17/2778', '220/2460', '40/3309', '212/2092', '92/8851', '86/4590', 'i/MIshizuka', '57/3385', '125/8189-23', '175/4819', '319/1006', '27/11208', '99/3777-1', '356/5166', '319/9562', '318/7390', '371/7706', '292/5367', 'z/JianweiZhang2', '57/3892', '82/8078', '74/916', '342/1254', '265/2414', '251/3750', '77/4366', 'g/ZoltanGyongyi', '118/3677', '81/947', '05/764', '53/4885', '97/7061', '181/0564', '55/3697', 'l/SJLynden', '99/111', '265/6339', '49/4655', '354/7275', '12/1364', '06/362', '210/3183', '38/2963-1', '35/1787', '175/5482', '276/5101', '41/10716', '87/5980', '30/9957', '50/7001', '01/923', '238/6373', '222/1228', '25/1907', '41/5305-1', '83/2005', '356/7885', '206/4517', '59/561', '138/3081', '64/5725-8', '46/5262', '30/3795', '342/6367', '298/8409', '49/1043', '95/4452', '35/1144', '302/5467', '11/6389', '15/10220', '132/3057', '81/6031', '249/8382', 'm/TristanMiller', '182/1916', '229/9247', '43/5146', '213/8428', 'c/CarlosCastillo1', '33/1554', '162/8023', '148/7274', '68/4195', '43/2784', '357/1341', '358/9947', '86/1691', '266/8292', '274/0908', '90/2018', 'f/IngoFrommholz', '248/7590', '334/0494', 'j/AlipioMarioJorge', '286/1255', 'b/SSBhowmick', '155/0475', 'b/AvdBosch', '25/10400', '69/5902-16', '162/9086', '331/1059', '74/2686', '208/4100', '194/4245', '00/2937', '95/494-3', '78/2949-3', '59/4006', 'j/AdamJatowt', '40/7762', '08/5070', '221/2910', '84/4575', '204/0112', '213/1217', '21/5534', '16/905', '48/441', '354/5809', '314/5795', '21/5658', '58/2715', '245/1859', '229/9262', '55/541', '04/4844', '150/5181', '64/2149', '81/4768', '82/4116', '52/2825', '50/1648', 'c/GCabanac', '36/6885', '07/7446', '358/7803', '244/8377', '58/3467-1', '372/0324', '76/8613', '295/9767', '309/6441', '140/3852', '144/7127', '76/1820', '138/9876', '336/4219', '14/7537', '339/7308', '271/4717', '362/8092', '319/2194', '358/3156', 'm/AtsuyukiMorishima', '135/9176-1', '218/0721', '89/3678', '168/4496', '132/1763', '137/7811', '42/5410', '06/5387', '168/6216', '321/1242', '158/1990', 'y/MasatoshiYoshikawa', '20/2617', '11/2423', '44/3648', '27/8885', '292/9447', '88/7522', '61/5271', '29/7062', '29/5889', '229/9231', '354/1490', '244/8192', '27/7017', '20/7966', '277/0872', '222/6441', '167/9604', '50/7423', '02/7062', '266/0895', '59/1816', '81/7513', '79/2280', '226/5376', '84/3254-1', 'm/CCMarshall', '27/109', '354/9637', '273/7469', '359/4365', '28/441-1', '75/6588-3', '76/1820-20', '238/6310'}"
8,Adam J. Lee,62/1373,"{'z/LDZuck', '139/8730', '65/3740', '116/5016', '267/6734', '339/2049', 'c/PKChrysanthis', '34/4470', '44/3103', '33/5321', 's/KentESeamons', '239/9655', '37/6948', '131/3440', '177/3044', '16/259', '59/9942', '34/756', 'c/RoyHCampbell', '75/7398', '54/10518', '19/3993', '70/1446', '150/7302', '283/7133', 's/RaviSSandhu', '79/1472', '176/5260', '116/6767', '03/11431', '98/7612', '57/3771', '70/1779', '87/2973', 'h/TimothyLHinrichs', 'e/SandroEtalle', '45/736', '95/8736', 'y/WilliamYurcik', '68/581', '52/4664', '265/9746', '163/0517', '90/4404', 'g/CarlAGunter', '339/2016', '239/8544', '220/7455', '57/4291', '57/702', '50/6916', '93/4627', '18/560', '120/0090', '163/3943', '96/331', 'z/DemetriosZeinalipourYazti', '134/8965', '79/1342', 'w/MarianneWinslett', 'h/RagibHasan', '10/3878', '74/3461', '22/2650', 'r/SilvioRanise', '62/1373', '86/7076', '47/5905', '93/5018', 'm/JohnCMitchell', '32/3440', '63/4495', 'y/TingYu-1', 'o/LarsOlson', '21/331', '25/4653-1', '180/1598', '116/4982', '65/2057', '13/3150', '17/7986', '27/4538', '163/3931', '142/7802', '216/5861', 'l/ALabrinidis', '51/717', '46/1953-1', '65/1345', '99/6213', 'm/DanielMosse', '84/2746', '06/10662', '38/7986', '96/1611', '126/1883', '162/0133', '04/8778', '74/2358', '80/11454'}"
9,Alexander Thomson,21/8510,"{'21/8510', '54/1737', '72/11411', '64/11411', '147/1195', '04/9715', 'a/DJAbadi', 'p/DavidPage'}"
