,author_name,institute,country,author_pid,coauthors_list
0,Aaron J. Elmore,university of chicago,united states,75/9436,"{'z/SBZdonik', '14/5951', 'f/CFaloutsos', '82/7402', '149/2713', '151/6401', '166/8376', '05/7063', '242/5163', '10/6661', 'c/AAChien', '56/794', 'k/GeorgiaKoutrika', '190/7633', 'y/JXuYu', 'f/IanTFoster', '155/5478', 'd/DJDeWitt', '58/4127', '194/6154', '76/3486', 'f/RikFarrow', '55/11299', '42/469-2', '25/169', '228/8021', '303/4540', '205/0395-1', 'm/EssamMansour', '52/1382', '42/469', '287/9707', '75/887', 'c/UgurCetintemel', '89/6325', '286/3107', 'f/AlanDavidFekete', 'p/ThemisPalpanas', '179/4140', '89/7454', '180/5761', 'd/AmolDeshpande', '95/8314', '27/3290', '149/5905', '294/4509', '191/0523', '99/1163', '166/8374', '211/7926', '131/4202', '292/6093', '25/6583', '80/10299', '82/75', '86/9726', '131/4166', '147/1343', 'f/MJFranklin', '147/1198', '94/2844', '252/3911', '27/7987', '09/6353', 'h/BillHowe', '116/6181', '179/4147', 'c/CarloCurino', '191/0557', 'w/StevenEuijongWhang', '266/6112', '232/1436', '127/6195', '86/7615', '159/1150', '96/2826', '234/1112', '125/2926', '147/1189', '181/5708', '372/1694', '25/7592', '87/8324', '45/1559', '117/1897-2', '71/5974', '244/3144', 'y/JunYang1', '117/3757', '181/5788', '26/6037', 'z/XiaofangZhou', '237/7473', '50/7680-2', '32/5050', '358/8364', '38/6049-21', '128/8104', '191/0540', '372/1979', '19/1374-5', '78/4413', '96/1837', 'm/DavidMaier', '97/3301', 'a/DivyakantAgrawal', '02/6087', '219/9701', '168/0291', '170/0318', '163/0545', '24/8510', '87/11444', '347/1729', '186/8029', '228/7838', '41/3679', 'b/MagdalenaBalazinska', '43/2286', '40/7459', '184/2345', '241/5156', '288/0557', 'y/XifengYan', 'm/SamuelMadden', '66/9786', '125/2460', '232/5625', '01/3996', 't/NesimeTatbul', '274/1246', '206/1695', '27/4508', 'k/DavidRKarger', '28/5477', 'a/AmrElAbbadi', '316/6852', 's/MichaelStonebraker', '149/5876', '04/9558', '150/1313', '75/9436', '213/7854', '58/5014', 'o/BengChinOoi'}"
1,Abdalghani Abujabal,amazon alexa,germany,162/9092,"{'36/2988', 'b/KlausBerberich', '96/7128', '25/11105', '207/5762', '88/6532', '20/10453', '40/4987', 't/MartinTheobald', '57/4545', '43/8239', '06/180', '250/2789', '162/7798', 'r/MirekRiedewald', '127/0394', '139/0824-2', '68/6229', '54/7420', 'w/GerhardWeikum', '295/3541', '70/8150', '28/8510', '32/5357', '295/3643', '61/11469', '169/3230', '226/4894', '162/9092', '71/9605'}"
2,Abdul Quamar,ibm research almaden,united states,127/6195,"{'82/7402', '238/2401', 'h/ChingTienHo', '56/451', '224/6472', 'k/GeorgiaKoutrika', '128/2547', '27/3375', '22/8355', '266/2891', '37/3868', '12/1770-5', '02/300', '76/3486', '60/4193', '166/8362', '98/1178', '28/10038', '54/4272', '75/887', '53/2812', 'f/AlanDavidFekete', '204/3633', '129/8181', 'd/AmolDeshpande', '58/1388', '131/4202', '81/6125', '184/1441', '273/6828', '171/2113', '86/4593', '204/3677', 'g/JonathanGoldstein', '31/4489', '87/10957', 'w/StevenEuijongWhang', '127/6195', '66/9726', '181/2812', '45/1559', 'y/JunYang1', '257/5495', 'k/SamirKhuller', '243/2494', 'z/XiaofangZhou', '51/6067', '67/1811', '65/11457', '358/8364', '00/7739', '19/1374-5', '78/4413', 'w/WeiWang', '230/8590', '97/3301', 'c/LauraChiticariu', '60/2319', '180/8003', '24/8510', '01/2861', '87/11444', '281/2391', '117/2614', '74/4923', '163/4085', '43/2286', '192/4730', '54/6752', '330/0760', '204/3819', '204/3759', '17/5913-1', '14/214', '22/835-1', '17/6400', '204/3688', '204/3793', 'o/FatmaOzcan', '75/9436'}"
3,Abdulhakim Ali Qahtan,utrecht university,netherlands,121/4198,"{'e/AKElmagarmid', '121/4198', '40/3853', '25/7045-12', '38/8707', '09/7444', '353/5639', '71/8700-1', 'i/IhabFIlyas', '320/0361', '147/1253', '131/4202', '148/4413', '27/104-1', 'm/SamuelMadden', '27/1836', '319/9703', '74/1890-1', 's/MichaelStonebraker', 'v/YannisVelegrakis', 'm/EssamMansour', 'o/MouradOuzzani'}"
4,Abhijnan Chakraborty,max planck institute for software systems,germany,116/1678,"{'39/2657', '217/4358', '82/2478-4', '178/7719', '67/6126-2', '57/4924', '129/8499', '345/6401', '190/0524', 'g/PKrishnaGummadi', '48/10293', '188/5933', '58/657', '161/2736', '372/7472', '73/10042', '139/5123', '06/900-1', '240/9044', '186/8200', '90/2878', '135/6297', '161/2730', '118/7174', '52/6987', 'm/AnimeshMukherjee', '38/768', '50/4417', '198/5454', '188/5728', '73/8324', '173/4926', '218/0320', '176/4083', '130/0373', '176/4200', '349/0104', '10/7062', '72/11468', '233/1417', '351/9766', '213/7740', '11/2906', '230/4496', '289/6302', '218/0290', '182/3935', '116/1678', '204/6332', '216/0244', '188/5984', '13/7005', '64/5995', '206/6354', '74/1644', '138/1229', '48/3394', '204/5234-1', '198/0754', '77/5034', '97/117', '24/6847', '141/4293', '331/1369', '52/10075', '74/10289', '162/5030', '65/2136-2', '241/9574', 'p/VenkataNPadmanabhan', '139/2312', '141/9244', '07/9377', '139/9735', '294/1305', '67/370', '172/0876', '130/5427', '202/2035', '155/1879', '30/10015', '247/9913', '70/3304', '40/7987'}"
5,Abhishek Kumar Singh,international institute of information technology hyderabad,india,139/0855,"{'64/4985', '122/2521', '270/9236', '149/1236', '18/5843', '30/10051', '168/8211', '139/0779', '257/5042', '297/4262', '345/8476', '86/660', '195/0893', '03/4045', '219/6067', '53/2182', '116/4768', '126/8775', '195/0934', '227/8823', '139/0855', '187/6216', '164/1195', '177/7758', '145/2945', '206/3438', 'g/ManishGupta1', '276/1394', '329/1467', '293/4458', '357/0131', 'j/KyleJamieson', '343/9693', '216/9617', '67/4375', '174/4930', '145/2927', '120/5101', '66/9553', '94/8121', '99/8852', '61/1512', '79/5692'}"
6,Abolfazl Asudeh,university of illinois at chicago,united states,04/7892,"{'151/3111', '99/6850', 's/DiveshSrivastava', '301/9104', '354/6186', '19/3936', '80/4136-3', '57/10514', '276/7154', '219/9708', 'm/AliMovagharRahimabadi', '203/8717', '251/9509', '295/7143', 't/YufeiTao', '40/4462', 'n/ShamkantBNavathe', '35/3947', '252/6782', '254/2107', '23/7274', 'z/NanZhang4', 'p/PaoloPapotti', '247/9288', '131/4767', '222/9741', 'm/GeromeMiklau', 'j/HVJagadish', '266/5748', 'b/TYBergerWolf', '350/0704', '37/4949', '155/9999', '154/6446', '167/2111', '324/4835', '99/7868', '224/8653', '324/4726', '39/3121', '136/9395', '276/6971', '243/2448', 'd/SajalKDas', 'g/PaoloGarza', '07/1181', '16/8675-1', '58/3771', '17/822', '204/3637', '201/1548', '137/7229', '12/1709', 'k/NickKoudas', '243/2443', '328/6662', 'h/BillHowe', '04/7892', '272/9945', '335/2214', '181/5817', '14/3692', '344/5088', '17/10543', '367/7248', '98/7487', 's/JuliaStoyanovich', '354/6497', '66/9718', '351/0379'}"
7,Adam Jatowt,kyoto university,japan,j/AdamJatowt,"{'340/4018', '249/8382', '221/2910', 'b/SSBhowmick', '334/0494', '29/7062', '206/4517', '11/3590', '181/0564', 'f/IngoFrommholz', '00/2937', '276/7000', '33/1554', '01/923', '304/9996', '319/2194', '55/3697', '132/1763', '11/2423', '213/8428', '132/3057', '30/3795', '339/7308', '371/7386', '354/1490', '76/1820-20', '38/8987', '222/1228', '162/9086', '18/3917', '86/4590', '35/1787', '96/8781', '193/4217', 'g/ZoltanGyongyi', '75/6588-3', '309/5539', '28/441-1', '34/1932', '238/6310', '76/8613', '220/2460', '168/6216', '295/9767', '52/7536', '92/8851', '76/1820', '266/8292', '17/2778', '04/4844', '88/85', '49/4655', '43/2784', '81/6031', '84/4575', '84/5102', '314/5795', '331/1059', '168/4496', '276/5101', '27/7017', '90/2018', '81/4768', '137/7811', '97/7061', '41/5305-1', '20/2617', '06/362', '83/5930', '359/4365', '58/2715', '286/1255', '52/2825', '118/3677', '244/8377', '50/7423', '58/3467-1', '358/7803', '238/6373', '186/6867', '218/0107', '342/1254', 'm/AtsuyukiMorishima', '89/3678', '81/7513', '357/1341', '202/1290', '292/5367', '57/1548-2', '64/5725-8', '14/7537', '244/8192', '318/7390', '194/4245', '99/3777-1', '25/1907', '372/0751', '02/2649', '155/0475', '44/3648', '298/8409', '175/4819', '07/7446', '129/9499', '125/8189-23', 'm/CCMarshall', '59/561', '78/2949-3', '35/1144', '140/3852', '144/7127', '319/9562', '229/9247', '222/6441', '213/1217', '169/1792', '58/3217', '356/7885', '87/5980', '11/6389', '16/905', '94/7622', '342/8744', '171/5645', '57/3385', '50/7001', '49/1043', '274/0908', '229/9262', '76/6170', '262/6430', '17/9088', '167/9604', '266/0895', '61/5271', '79/5133', '53/4885', 'j/AlipioMarioJorge', '79/2280', '228/7964', 'c/CarlosCastillo1', '218/0721', '99/111', '11/4619', '82/8078', '342/6367', '40/7762', '25/10400', '63/1390', '36/6885', '83/2005', '77/4366', '29/5889', '50/1648', '83/5350', '331/0963', '95/494-3', 'z/JianweiZhang2', '41/10716', '40/5637', '273/7469', '68/4195', '371/7706', 'l/SJLynden', '30/9957', 'j/AdamJatowt', '64/2149', '27/8885', '208/4100', '81/193', '48/441', '175/5482', '71/4474', '00/4883', '354/7275', '356/5166', '02/7062', 'y/MasatoshiYoshikawa', '336/4219', '82/4116', '302/5467', '292/3034', '216/7280', 'm/TristanMiller', '277/0872', '43/8664', '50/916', '135/9176-1', '251/3750', '88/7522', '20/7966', '158/1990', '182/1916', '265/2414', '308/2464', '233/3653', '69/5902-16', '27/109', '38/2963-1', '80/3547', '05/764', '245/1859', '11/1423', '43/5146', '372/0324', '309/6441', '02/943', '226/5376', '59/1816', '148/7274', 'c/GCabanac', '358/9947', '04/11276', '40/3309', '81/947', '212/2092', '292/9447', '27/1664-1', '193/4224', '21/5658', '210/3183', '138/9876', '321/1242', 'b/AvdBosch', '74/2686', '15/10220', '12/1364', '271/4717', '229/9231', 'i/MIshizuka', '138/3081', '24/9923', '86/1691', '354/9637', '354/5809', '55/541', '358/3156', '319/1006', '57/3892', '21/5534', '95/4452', '248/7590', '28/2613', '42/5410', '162/8023', '98/5660', '151/2098', '362/8092', '27/11208', '265/6339', '43/6826', '204/0112', '06/5387', '292/5535', '14/1395', '59/4006', '46/5262', '84/3254-1', '61/3463', '150/5181', '74/916', '123/6906', '342/8733', '08/5070'}"
8,Adam J. Lee,university of pittsburgh,united states,62/1373,"{'79/1342', 'z/LDZuck', '44/3103', '267/6734', '126/1883', '04/8778', '51/717', '22/2650', '96/331', '17/7986', '131/3440', '21/331', 'w/MarianneWinslett', '163/3943', '96/1611', '57/702', '57/4291', '142/7802', '70/1779', '84/2746', '86/7076', 'h/RagibHasan', 'e/SandroEtalle', '176/5260', '10/3878', 'm/JohnCMitchell', '54/10518', 'r/SilvioRanise', '120/0090', '45/736', '50/6916', '65/3740', 'h/TimothyLHinrichs', '239/9655', '216/5861', '65/1345', '177/3044', 'l/ALabrinidis', '16/259', 'o/LarsOlson', '265/9746', '93/4627', '339/2049', '134/8965', '99/6213', '46/1953-1', '52/4664', '163/0517', 'z/DemetriosZeinalipourYazti', '34/4470', '87/2973', '79/1472', '70/1446', '74/3461', 'm/DanielMosse', 's/RaviSSandhu', '220/7455', '62/1373', '34/756', '239/8544', '19/3993', '65/2057', '93/5018', '162/0133', '283/7133', '37/6948', 'c/PKChrysanthis', '57/3771', '03/11431', '98/7612', '38/7986', '116/4982', '25/4653-1', 'y/TingYu-1', '32/3440', '68/581', 'g/CarlAGunter', '90/4404', '47/5905', '18/560', '163/3931', '74/2358', 'y/WilliamYurcik', 's/KentESeamons', '150/7302', '116/5016', '75/7398', 'c/RoyHCampbell', '95/8736', '80/11454', '06/10662', '180/1598', '339/2016', '13/3150', '63/4495', '139/8730', '33/5321', '27/4538', '59/9942', '116/6767'}"
9,Alexander Thomson,google,united states,21/8510,"{'54/1737', 'a/DJAbadi', '72/11411', 'p/DavidPage', '64/11411', '21/8510', '04/9715', '147/1195'}"
