,problem_pid,url
0,116/1678,https://dblp.org/pid/39/1380.html
1,136/7882,https://dblp.org/pers/hd/g/Gupta:Amit
2,d/AnHaiDoan,https://dblp.org/pers/hd/m/Mukherjee_0001:Animesh
3,d/AnHaiDoan,https://dblp.uni-trier.de/pers/c/Chakraborty:Anirban.html
4,67/2933,https://dblp.org/pers/hd/p/Pal_0001:Arindam
5,98/4432-3,https://dblp.uni-trier.de/pers/hd/y/Yang_0002:Bin
6,k/BKonigRies,https://dblp.uni-trier.de/pers/hd/j/J=oacute=nsson_0001:Bj=ouml=rn_=THORN==oacute=r
7,75/3108,https://dblp.uni-trier.de/pers/hd/g/Glavic:Boris
8,07/1560,https://dblp.uni-trier.de/pers/hd/m/Mohan_0001:C=
9,l/ChenLi1,https://dblp.org/pid/92/2769.html
10,l/ChenLi1,https://dblp.org/pid/148/7268.html
11,82/4206-11,https://dblp.org/pers/hd/c/Chen:Xiuying
12,b/CBhattacharyya,https://dblp.org/pers/hd/z/Za=in:Choiru
13,65/3446,https://dblp.org/pers/hd/y/Yu_0001:Cong
14,81/9436-1,https://dblp.uni-trier.de/pers/hd/w/Wang:Daheng
15,65/6758,https://dblp.org/pers/hd/p/P_0001:Deepak
16,85/318,https://dblp.uni-trier.de/pers/b/Barbosa:Denilson.html
17,83/8652,https://dblp.org/pers/g/Georgakopoulos:Dimitrios.html
18,g/DimitriosGunopulos,https://dblp.org/pers/hd/p/Papadias:Dimitris
19,a/DivyakantAgrawal,https://dblp.org/pid/161/0102.html
20,20/6977-1,https://dblp.uni-trier.de/pers/hd/k/Kim:Donghyun
21,54/6752,https://dblp.org/pers/m/Mansour:Essam.html
22,n/FelixNaumann,https://dblp.uni-trier.de/pers/hd/s/Schuhknecht:Felix_Martin
23,k/FlipKorn,https://dblp.org/pid/284/0968.html
24,07/1181,https://dblp.org/pers/hd/s/Shroff:Gautam_M=
25,g/GoetzGraefe,https://dblp.uni-trier.de/pers/hd/c/Cheng_0001:Gong
26,50/5895,https://dblp.uni-trier.de/pers/hd/h/Helskyaho:Heli
27,26/5170,https://dblp.org/pid/98/5721.html
28,80/6889,https://dblp.org/pers/j/Jung:Hyungsoo.html
29,b/IlariaBartolini,https://dblp.uni-trier.de/pers/p/Petrov:Ilia.html
30,21/4685,https://dblp.org/pers/hd/l/Lee_0001:Jae=Gil
31,61/3091,https://dblp.uni-trier.de/pers/hd/w/Wendt:James_B=
32,06/9379,https://dblp.uni-trier.de/pers/hd/c/Choi:Jason_Ingyu
33,05/10671,https://dblp.uni-trier.de/pers/hd/r/Rogers:Jennie
34,51/2627,https://dblp.org/pers/hd/t/Tang_0005:Jian
35,x/JianliangXu,https://dblp.org/pers/hd/w/Wang_0001:Jianmin
36,89/9935,https://dblp.uni-trier.de/pers/hd/g/Gao_0004:Jing
37,08/1790,https://dblp.uni-trier.de/pers/hd/p/Palotti:Jo=atilde=o_R=_M=
38,147/1195,https://dblp.uni-trier.de/pers/hd/m/Mac=ecirc=do:Jos=eacute=_A=_F=_de
39,f/JulianaFreire,https://dblp.org/pers/hd/r/Romero:Julian
40,82/4977-3,https://dblp.org/pers/hd/x/Xu_0001:Jun
41,82/4977-3,https://dblp.uni-trier.de/pers/hd/y/Yang_0001:Jun
42,130/8167,https://dblp.org/pers/h/Hui:Kai.html
